vehicle,date,distance,passengers
0,2025-07-31,34,7
0,2025-09-02,47,4
0,2025-07-19,35,8
0,2025-08-14,48,3
0,2025-03-15,14,8
0,2025-09-05,14,7
0,2025-04-29,50,1
0,2025-07-08,15,5
0,2025-07-10,17,6
0,2025-09-18,24,5
0,2025-04-27,29,4
0,2025-10-02,27,6
0,2025-06-12,11,6
0,2025-07-21,49,3
0,2025-03-24,14,3
0,2025-03-28,50,7
0,2025-04-12,10,3
0,2025-02-03,14,1
0,2025-09-29,22,2
0,2025-06-27,28,3
0,2025-01-11,30,3
0,2025-11-11,24,1
0,2025-12-31,25,5
0,2025-09-14,12,7
0,2025-04-03,41,1
0,2025-08-15,30,8
0,2025-04-05,42,4
0,2025-08-03,43,2
0,2025-09-06,33,1
0,2025-07-27,35,6
0,2025-10-01,28,1
0,2025-06-13,42,1
0,2025-07-03,35,5
0,2025-01-27,19,5
0,2025-05-09,40,1
0,2025-12-24,23,3
0,2025-10-14,41,7
0,2025-07-14,38,1
0,2025-11-18,43,7
0,2025-01-30,43,7
0,2025-09-14,38,4
0,2025-02-19,19,5
0,2025-05-23,42,8
0,2025-07-30,26,2
0,2025-05-19,37,1
0,2025-08-25,48,8
0,2025-10-01,27,5
0,2025-02-12,47,6
0,2025-08-29,32,6
0,2025-01-20,30,8
0,2025-11-12,45,6
0,2025-04-10,45,4
0,2025-05-08,13,3
0,2025-11-30,19,4
0,2025-02-01,44,2
0,2025-07-31,13,3
0,2025-03-08,11,8
0,2025-02-25,20,5
0,2025-03-04,17,5
0,2025-10-11,34,2
0,2025-05-14,15,5
0,2025-06-03,49,4
0,2025-06-08,37,1
0,2025-11-01,42,3
0,2025-04-26,48,3
0,2025-09-28,42,6
0,2025-10-15,14,8
0,2025-11-13,26,2
0,2025-11-13,36,4
0,2025-07-28,11,6
0,2025-04-11,44,2
0,2025-03-02,21,5
0,2025-08-29,21,3
0,2025-04-11,38,7
0,2025-06-04,13,4
0,2025-08-06,44,8
0,2025-04-29,11,4
0,2025-08-31,26,6
0,2025-07-05,17,1
0,2025-07-12,18,3
0,2025-06-25,24,5
0,2025-09-03,48,2
0,2025-04-25,24,6
0,2025-05-13,31,2
0,2025-11-19,42,3
0,2025-07-12,49,6
0,2025-05-24,39,1
0,2025-07-07,34,6
0,2025-07-02,18,5
0,2025-04-12,22,3
0,2025-10-01,25,5
0,2025-06-16,19,7
0,2025-02-11,36,8
0,2025-06-07,27,1
0,2025-02-12,16,4
0,2025-09-04,12,4
0,2025-08-02,34,7
0,2025-09-05,12,7
0,2025-04-14,23,8
0,2025-01-14,47,3
0,2025-01-13,23,2
0,2025-09-26,32,1
0,2025-07-11,30,4
0,2025-05-02,31,8
0,2025-02-25,42,4
0,2025-03-04,48,5
0,2025-05-24,36,6
0,2025-07-02,20,7
0,2025-03-19,41,4
0,2025-08-19,33,4
0,2025-11-02,30,2
0,2025-11-21,37,6
0,2025-07-24,40,2
0,2025-04-05,34,6
0,2025-03-25,37,8
0,2025-04-26,45,3
0,2025-04-11,28,7
0,2025-04-29,13,2
0,2025-07-05,36,6
0,2025-07-08,25,7
0,2025-10-20,11,1
0,2025-08-16,28,5
0,2025-07-04,37,8
0,2025-11-20,46,6
0,2025-03-09,23,3
0,2025-06-24,17,2
0,2025-08-14,26,1
0,2025-06-18,26,4
0,2025-11-06,22,2
0,2025-07-07,25,4
0,2025-08-26,49,6
0,2025-07-12,33,7
0,2025-03-09,48,7
0,2025-04-19,50,1
0,2025-08-20,41,7
0,2025-05-14,34,6
0,2025-09-29,30,5
0,2025-09-21,18,4
0,2025-09-03,37,3
0,2025-03-06,15,3
0,2025-09-22,21,2
0,2025-07-10,21,3
0,2025-03-27,42,6
0,2025-10-15,39,2
0,2025-07-14,33,5
0,2025-05-23,19,1
0,2025-06-11,14,1
0,2025-09-27,21,7
0,2025-07-22,34,1
0,2025-09-08,36,3
0,2025-10-24,12,6
0,2025-06-02,14,7
0,2025-06-04,38,2
0,2025-05-08,46,5
0,2025-06-28,40,3
0,2025-11-28,30,4
0,2025-03-15,30,2
0,2025-06-18,21,4
0,2025-04-21,28,6
0,2025-09-29,32,3
0,2025-04-11,10,1
0,2025-08-10,17,4
0,2025-06-21,22,7
0,2025-09-21,47,6
0,2025-03-14,37,2
0,2025-02-24,28,8
0,2025-08-27,49,6
0,2025-11-13,16,7
0,2025-05-10,13,5
0,2025-09-22,48,6
0,2025-11-10,24,6
0,2025-01-21,28,1
0,2025-11-26,49,3
0,2025-06-09,35,3
0,2025-10-11,18,1
0,2025-06-28,45,6
0,2025-09-29,27,4
0,2025-06-07,20,2
0,2025-11-01,16,6
0,2025-04-07,19,8
0,2025-06-25,34,7
0,2025-03-27,42,1
0,2025-02-01,16,3
0,2025-05-16,10,8
0,2025-10-17,38,3
0,2025-05-11,13,2
0,2025-07-12,47,8
0,2025-01-10,10,8
0,2025-09-18,40,8
0,2025-04-09,24,1
0,2025-03-18,48,4
0,2025-05-18,37,4
0,2025-07-20,12,5
0,2025-03-30,47,8
0,2025-08-27,27,7
0,2025-11-19,30,5
0,2025-10-13,44,3
0,2025-02-23,36,2
0,2025-05-07,42,4
0,2025-08-27,35,2
