vehicle,date,distance
3,2022-05-03,26
3,2022-02-14,38
2,2022-05-31,37
3,2022-09-21,14
7,2022-05-09,24
7,2022-09-23,17
9,2022-11-25,19
6,2022-03-17,21
3,2022-11-04,22
4,2022-05-26,33
10,2022-05-12,39
3,2022-07-20,48
4,2022-08-25,25
3,2022-03-28,27
7,2022-12-20,41
9,2022-10-22,25
10,2022-11-02,15
1,2022-02-11,34
9,2022-06-29,29
6,2022-07-30,20
8,2022-06-10,23
6,2022-10-28,10
8,2022-06-17,46
1,2022-07-25,14
6,2022-06-08,45
2,2022-12-12,34
3,2022-09-11,43
1,2022-03-22,27
5,2022-09-01,16
7,2022-05-24,21
8,2022-08-28,50
10,2022-02-06,40
7,2022-09-04,11
4,2022-02-17,29
4,2022-07-12,24
7,2022-04-29,23
8,2022-12-30,33
6,2022-11-28,24
5,2022-01-25,37
5,2022-02-11,39
9,2022-09-09,49
1,2022-10-29,13
5,2022-06-19,33
8,2022-04-29,36
9,2022-06-22,19
2,2022-01-01,17
8,2022-04-04,45
4,2022-01-04,44
6,2022-05-10,20
3,2022-05-22,40
6,2022-09-01,44
1,2022-03-01,15
3,2022-10-28,27
7,2022-02-12,46
8,2022-06-05,28
9,2022-05-21,19
10,2022-09-15,41
5,2022-07-31,19
7,2022-05-03,39
5,2022-09-15,10
4,2022-07-18,42
2,2022-06-10,35
9,2022-02-18,28
8,2022-04-01,43
1,2022-03-15,10
8,2022-03-15,48
1,2022-02-19,16
4,2022-10-15,28
7,2022-04-29,40
10,2022-06-28,19
8,2022-02-27,24
4,2022-06-19,33
5,2022-02-13,14
6,2022-09-28,12
6,2022-07-13,49
1,2022-10-30,37
10,2022-12-08,39
1,2022-11-02,14
3,2022-03-14,11
3,2022-04-14,41
6,2022-05-15,31
7,2022-07-19,22
9,2022-06-18,10
7,2022-08-08,42
9,2022-02-18,45
8,2022-01-18,30
8,2022-04-26,27
10,2022-07-26,40
6,2022-06-04,28
1,2022-07-16,12
8,2022-12-20,42
1,2022-11-24,48
5,2022-09-03,35
1,2022-05-24,32
7,2022-03-25,45
2,2022-11-11,16
6,2022-02-06,28
5,2022-12-01,19
1,2022-06-29,30
6,2022-06-09,14
8,2022-06-27,21
7,2022-06-14,30
7,2022-02-03,22
6,2022-07-13,46
3,2022-06-18,44
5,2022-05-26,10
4,2022-02-20,11
10,2022-03-16,16
2,2022-07-27,22
9,2022-04-15,30
7,2022-09-22,34
8,2022-07-19,16
9,2022-04-30,39
6,2022-07-31,12
7,2022-11-23,25
5,2022-09-08,42
3,2022-08-18,47
9,2022-07-10,45
5,2022-08-28,50
4,2022-03-12,10
9,2022-02-19,34
3,2022-06-11,21
8,2022-10-07,27
7,2022-07-20,47
8,2022-06-07,47
5,2022-07-30,43
1,2022-04-04,15
4,2022-08-27,43
8,2022-09-13,35
10,2022-02-17,30
4,2022-10-12,42
3,2022-07-27,21
6,2022-03-20,31
6,2022-03-22,47
3,2022-09-15,34
6,2022-06-20,35
2,2022-07-31,22
9,2022-07-13,36
6,2022-08-18,37
2,2022-05-16,21
7,2022-02-10,18
7,2022-11-16,17
1,2022-07-17,41
6,2022-06-09,34
4,2022-10-05,40
10,2022-11-12,26
2,2022-11-06,50
1,2022-05-27,34
10,2022-05-13,16
2,2022-09-10,35
1,2022-06-07,27
9,2022-06-17,38
6,2022-10-18,23
5,2022-03-21,13
8,2022-03-26,48
9,2022-07-31,17
1,2022-06-14,39
1,2022-08-20,47
8,2022-07-22,24
2,2022-01-22,43
6,2022-05-11,39
6,2022-09-19,36
2,2022-09-13,37
1,2022-07-08,20
4,2022-11-17,46
1,2022-11-29,42
10,2022-06-22,29
7,2022-08-30,29
3,2022-04-13,11
3,2022-03-31,25
2,2022-09-15,33
1,2022-08-31,49
4,2022-05-24,15
6,2022-05-03,19
9,2022-06-27,46
10,2022-01-14,34
4,2022-06-05,27
10,2022-04-29,25
1,2022-06-14,21
6,2022-10-19,39
6,2022-06-24,25
9,2022-05-08,39
8,2022-02-04,35
2,2022-02-13,14
3,2022-05-26,21
3,2022-08-17,20
3,2022-04-21,23
1,2022-02-20,27
4,2022-04-03,40
5,2022-05-28,18
8,2022-02-26,12
5,2022-03-09,27
2,2022-05-04,46
9,2022-05-06,39
7,2022-06-03,35
3,2022-04-24,50
10,2022-06-13,13
10,2022-07-04,49
4,2022-09-01,39
3,2022-05-05,26
4,2022-09-23,30
2,2023-01-24,32
10,2023-06-28,20
5,2023-10-26,34
7,2023-04-12,42
3,2023-10-28,46
3,2023-12-26,35
9,2023-06-30,48
4,2023-08-23,46
9,2023-12-07,43
8,2023-04-30,16
2,2023-05-06,22
1,2023-07-08,20
8,2023-06-19,42
9,2023-05-15,11
9,2023-06-03,11
7,2023-06-25,34
8,2023-09-11,22
2,2023-11-14,48
8,2023-07-20,44
5,2023-04-05,44
1,2023-04-26,32
6,2023-06-13,16
4,2023-09-10,39
2,2023-06-03,15
4,2023-04-05,41
5,2023-05-15,20
8,2023-04-28,11
9,2023-03-20,42
8,2023-07-17,42
8,2023-03-12,39
6,2023-09-12,33
6,2023-08-13,44
10,2023-02-27,40
9,2023-11-13,25
10,2023-05-11,41
5,2023-10-15,47
3,2023-06-23,17
8,2023-06-02,42
9,2023-09-11,13
6,2023-10-17,11
7,2023-12-28,33
1,2023-03-09,26
10,2023-07-29,16
6,2023-10-03,27
1,2023-03-02,11
10,2023-07-16,14
6,2023-08-01,42
8,2023-10-13,29
4,2023-09-17,11
9,2023-09-03,28
7,2023-06-25,32
4,2023-08-27,15
6,2023-05-27,12
6,2023-02-13,33
7,2023-11-28,50
4,2023-12-20,30
4,2023-03-01,49
3,2023-05-11,23
6,2023-10-03,24
7,2023-01-05,21
5,2023-06-14,19
7,2023-03-01,30
1,2023-05-23,47
4,2023-09-01,34
8,2023-06-09,14
8,2023-02-09,50
5,2023-04-30,28
2,2023-06-12,15
9,2023-07-28,28
5,2023-07-03,19
8,2023-11-01,12
5,2023-08-10,10
10,2023-05-14,46
5,2023-06-15,30
7,2023-07-29,24
9,2023-06-14,24
1,2023-06-12,30
8,2023-03-29,40
4,2023-11-02,12
1,2023-10-30,47
4,2023-03-13,31
1,2023-11-12,49
5,2023-11-24,35
6,2023-07-27,21
5,2023-07-30,50
3,2023-03-26,40
5,2023-01-26,49
9,2023-08-23,13
8,2023-09-13,18
1,2023-04-19,37
1,2023-06-20,34
7,2023-06-04,35
5,2023-11-21,13
3,2023-11-24,24
6,2023-11-18,34
10,2023-05-01,33
3,2023-06-19,12
6,2023-05-10,31
7,2023-07-16,32
7,2023-09-26,27
3,2023-03-23,50
9,2023-11-01,50
9,2023-07-04,44
5,2023-10-05,19
2,2023-04-02,20
3,2023-05-25,11
2,2023-09-18,45
2,2023-12-02,19
7,2023-11-01,45
5,2023-06-21,15
8,2023-06-23,30
8,2023-09-24,35
7,2023-09-10,35
5,2023-10-03,43
6,2023-07-14,17
2,2023-11-08,28
3,2023-04-22,44
5,2023-06-07,23
10,2023-07-04,24
2,2023-05-29,41
2,2023-09-21,44
3,2023-05-07,29
4,2023-10-02,42
4,2023-01-29,19
1,2023-01-08,48
3,2023-11-08,44
